date time,longitude [ deg E ],longitude [ deg E ] QC Flag,longitude [ deg E ] QC Comment,longitude [ deg E ] Type,latitude  [ deg N ],latitude  [ deg N ] QC Flag,latitude  [ deg N ] QC Comment,latitude  [ deg N ] Type,Depth [m],Depth [m] QC Flag,Depth [m] QC Comment,Depth [m] Type,SST [degC],SST [ deg C ] QC Flag,SST [ deg C ] QC Comment,SST [ deg C ] Type,Salinity,Salinity [ PSU ] QC Flag,Salinity [ PSU ] QC Comment,Salinity [ PSU ] Type,CELGASPRES,CELGASPRES QC Flag,CELGASPRES QC Comment,CELGASPRES Type,XCO2WTEQ,XCO2WTEQ QC Flag,XCO2WTEQ QC Comment,XCO2WTEQ Type,PROCO2CURR,PROCO2CURR QC Flag,PROCO2CURR QC Comment,PROCO2CURR Type,PROCO2ZERO,PROCO2ZERO QC Flag,PROCO2ZERO QC Comment,PROCO2ZERO Type,pCO2 [uatm],pCO2_water_SST_wet [ uatm ] QC Flag,pCO2_water_SST_wet [ uatm ] QC Comment,fCO2 [uatm],fCO2_water_SST_wet [ uatm ] QC Flag,fCO2_water_SST_wet [ uatm ] QC Comment,DOXY [ml-L],DOXY_1_QC
17/10/2023 00:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.244,2,,I,38.172,2,,I,997,2,,M,458.86,2,,M,51614,2,,M,54606,2,,M,451.501,2,,451.5,2,,,
17/10/2023 02:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.169,2,,I,38.189,2,,I,997,2,,M,457.75,2,,M,51621,2,,M,54606,2,,M,450.409,2,,450.407,2,,,
17/10/2023 04:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.015,2,,I,38.225,2,,I,997,2,,M,454.15,2,,M,51640,2,,M,54606,2,,M,446.867,2,,446.865,2,,,
17/10/2023 06:00,13.708,2,,N,45.698,2,,N,0,2,,N,20.923,2,,I,38.225,2,,I,997,2,,M,454.99,2,,M,51638,2,,M,54606,2,,M,447.693,2,,447.692,2,,,
17/10/2023 08:00,13.708,2,,N,45.698,2,,N,0,2,,N,20.896,2,,I,38.218,2,,I,997,2,,M,450.16,2,,M,51662,2,,M,54606,2,,M,442.941,2,,442.939,2,,,
17/10/2023 10:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.095,2,,I,38.253,2,,I,1000,2,,M,431.35,2,,M,51748,2,,M,54606,2,,M,425.709,2,,425.708,2,,,
17/10/2023 12:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.053,2,,I,38.254,2,,I,1000,2,,M,427.21,2,,M,51769,2,,M,54606,2,,M,421.623,2,,421.622,2,,,
17/10/2023 14:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.344,2,,I,38.248,2,,I,1002,2,,M,419.57,2,,M,51802,2,,M,54606,2,,M,414.912,2,,414.91,2,,,
17/10/2023 16:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.241,2,,I,38.247,2,,I,1002,2,,M,423.32,2,,M,51778,2,,M,54598,2,,M,418.62,2,,418.619,2,,,
17/10/2023 18:00,13.708,2,,N,45.698,2,,N,0,2,,N,21.115,2,,I,38.264,2,,I,1000,2,,M,430.36,2,,M,51746,2,,M,54598,2,,M,424.732,2,,424.731,2,,,
