date time,SST [degC],Salinity,pCO2 [uatm],DOXY [ml-L],SST [ deg C ] QC Flag,Salinity [ PSU ] QC Flag,pCO2_water_SST_wet [ uatm ] QC Flag,DOXY_1_QC
2024-01-01 00:00:00,,,,5.40325,,,,2.0
2024-01-01 04:00:00,,,,5.401,,,,2.0
2024-01-01 08:00:00,,,,5.44825,,,,2.0
2024-01-01 12:00:00,12.875,37.576,347.86,5.47625,2.0,2.0,2.0,2.0
2024-01-01 16:00:00,12.824,37.567,350.764,5.46525,2.0,2.0,2.0,2.0
2024-01-01 20:00:00,12.823,37.62,353.165,5.38275,2.0,2.0,2.0,2.0
2024-01-02 00:00:00,12.839,37.651,357.119,5.32925,2.0,2.0,2.0,2.0
2024-01-02 04:00:00,12.835,37.66,357.688,5.3155,2.0,2.0,2.0,2.0
2024-01-02 08:00:00,12.833,37.669,354.445,5.3485,2.0,2.0,2.0,2.0
2024-01-02 12:00:00,12.844,37.674,349.97,5.35875,2.0,2.0,2.0,2.0
2024-01-02 16:00:00,12.806,37.546,362.095,5.379,2.0,2.0,2.0,2.0
2024-01-02 20:00:00,12.778,37.6,354.705,5.47675,2.0,2.0,2.0,2.0
2024-01-03 00:00:00,12.831,36.576,367.503,5.4485,2.0,2.0,2.0,2.0
2024-01-03 04:00:00,12.753,37.588,359.506,5.27375,2.0,2.0,2.0,2.0
2024-01-03 08:00:00,12.735,37.621,360.849,5.34,2.0,2.0,2.0,2.0
2024-01-03 12:00:00,12.536,37.123,361.912,5.42375,2.0,2.0,2.0,2.0
2024-01-03 16:00:00,12.763,37.611,357.149,5.34075,2.0,2.0,2.0,2.0
2024-01-03 20:00:00,12.764,37.614,357.476,5.38675,2.0,2.0,2.0,2.0
2024-01-04 00:00:00,,,,5.34475,,,,2.0
2024-01-04 04:00:00,,,,5.317,,,,2.0
2024-01-04 08:00:00,,,,5.34,,,,2.0
2024-01-04 12:00:00,12.735,37.653,350.312,5.313,2.0,2.0,2.0,2.0
2024-01-04 16:00:00,12.746,37.671,357.696,5.289,2.0,2.0,2.0,2.0
2024-01-04 20:00:00,12.758,37.676,357.738,5.28625,2.0,2.0,2.0,2.0
2024-01-05 00:00:00,,,,5.17825,,,,2.0
2024-01-05 04:00:00,,,,5.12875,,,,2.0
2024-01-05 08:00:00,12.792,37.69,361.739,5.24075,2.0,2.0,2.0,2.0
2024-01-05 12:00:00,12.715,37.606,349.374,5.367,2.0,2.0,2.0,2.0
