date time,depth,DOXY [ml/L],DOXY_1_QC
2024-01-01T00:00:49Z,2,5.418,2
2024-01-01T01:00:49Z,2,5.4,2
2024-01-01T02:00:49Z,2,5.397,2
2024-01-01T03:00:49Z,2,5.398,2
2024-01-01T04:00:49Z,2,5.401,2
2024-01-01T05:00:49Z,2,5.398,2
2024-01-01T06:00:49Z,2,5.396,2
2024-01-01T07:00:49Z,2,5.409,2
2024-01-01T08:00:49Z,2,5.425,2
2024-01-01T09:00:49Z,2,5.449,2
2024-01-01T10:00:49Z,2,5.466,2
2024-01-01T11:00:49Z,2,5.453,2
2024-01-01T12:00:49Z,2,5.462,2
2024-01-01T13:00:49Z,2,5.471,2
2024-01-01T14:00:49Z,2,5.481,2
2024-01-01T15:00:49Z,2,5.491,2
2024-01-01T16:00:49Z,2,5.493,2
2024-01-01T17:00:49Z,2,5.483,2
2024-01-01T18:00:49Z,2,5.458,2
2024-01-01T19:00:49Z,2,5.427,2
2024-01-01T20:00:49Z,2,5.416,2
2024-01-01T21:00:49Z,2,5.366,2
2024-01-01T22:00:49Z,2,5.379,2
2024-01-01T23:00:49Z,2,5.37,2
2024-01-02T00:00:49Z,2,5.35,2
2024-01-02T01:00:49Z,2,5.325,2
2024-01-02T02:00:49Z,2,5.326,2
2024-01-02T03:00:49Z,2,5.316,2
2024-01-02T04:00:49Z,2,5.32,2
2024-01-02T05:00:49Z,2,5.314,2
2024-01-02T06:00:49Z,2,5.321,2
2024-01-02T07:00:49Z,2,5.307,2
2024-01-02T08:00:49Z,2,5.346,2
2024-01-02T09:00:49Z,2,5.355,2
2024-01-02T10:00:49Z,2,5.348,2
2024-01-02T11:00:49Z,2,5.345,2
2024-01-02T12:00:49Z,2,5.361,2
2024-01-02T13:00:49Z,2,5.369,2
2024-01-02T14:00:49Z,2,5.347,2
2024-01-02T15:00:49Z,2,5.358,2
2024-01-02T16:00:49Z,2,5.369,2
2024-01-02T17:00:49Z,2,5.364,2
2024-01-02T18:00:49Z,2,5.393,2
2024-01-02T19:00:49Z,2,5.39,2
2024-01-02T20:00:49Z,2,5.392,2
2024-01-02T21:00:49Z,2,5.422,2
2024-01-02T22:00:49Z,2,5.524,2
2024-01-02T23:00:49Z,2,5.569,2
2024-01-03T00:00:49Z,2,5.539,2
2024-01-03T01:00:49Z,2,5.518,2
2024-01-03T02:00:49Z,2,5.421,2
2024-01-03T03:00:49Z,2,5.316,2
2024-01-03T04:00:49Z,2,5.313,2
2024-01-03T05:00:49Z,2,5.267,2
2024-01-03T06:00:49Z,2,5.255,2
2024-01-03T07:00:49Z,2,5.26,2
2024-01-03T08:00:49Z,2,5.256,2
2024-01-03T09:00:49Z,2,5.267,2
2024-01-03T10:00:49Z,2,5.407,2
2024-01-03T11:00:49Z,2,5.43,2
2024-01-03T12:00:49Z,2,5.426,2
2024-01-03T13:00:49Z,2,5.472,2
2024-01-03T14:00:49Z,2,5.434,2
2024-01-03T15:00:49Z,2,5.363,2
2024-01-03T16:00:49Z,2,5.337,2
2024-01-03T17:00:49Z,2,5.346,2
2024-01-03T18:00:49Z,2,5.342,2
2024-01-03T19:00:49Z,2,5.338,2
2024-01-03T20:00:49Z,2,5.368,2
2024-01-03T21:00:49Z,2,5.379,2
2024-01-03T22:00:49Z,2,5.41,2
2024-01-03T23:00:49Z,2,5.39,2
2024-01-04T00:00:49Z,2,5.363,2
2024-01-04T01:00:49Z,2,5.336,2
2024-01-04T02:00:49Z,2,5.356,2
2024-01-04T03:00:49Z,2,5.324,2
2024-01-04T04:00:49Z,2,5.319,2
2024-01-04T05:00:49Z,2,5.318,2
2024-01-04T06:00:49Z,2,5.319,2
2024-01-04T07:00:49Z,2,5.312,2
2024-01-04T08:00:49Z,2,5.346,2
2024-01-04T09:00:49Z,2,5.355,2
2024-01-04T10:00:49Z,2,5.338,2
2024-01-04T11:00:49Z,2,5.321,2
2024-01-04T12:00:49Z,2,5.313,2
2024-01-04T13:00:49Z,2,5.324,2
2024-01-04T14:00:49Z,2,5.312,2
2024-01-04T15:00:49Z,2,5.303,2
2024-01-04T16:00:49Z,2,5.301,2
2024-01-04T17:00:49Z,2,5.266,2
2024-01-04T18:00:49Z,2,5.3,2
2024-01-04T19:00:49Z,2,5.289,2
2024-01-04T20:00:49Z,2,5.3,2
2024-01-04T21:00:49Z,2,5.292,2
2024-01-04T22:00:49Z,2,5.286,2
2024-01-04T23:00:49Z,2,5.267,2
2024-01-05T00:00:49Z,2,5.23,2
2024-01-05T01:00:49Z,2,5.203,2
2024-01-05T02:00:49Z,2,5.172,2
2024-01-05T03:00:49Z,2,5.108,2
2024-01-05T04:00:49Z,2,5.119,2
2024-01-05T05:00:49Z,2,5.121,2
2024-01-05T06:00:49Z,2,5.127,2
2024-01-05T07:00:49Z,2,5.148,2
2024-01-05T08:00:49Z,2,5.209,2
2024-01-05T09:00:49Z,2,5.269,2
2024-01-05T10:00:49Z,2,5.251,2
2024-01-05T11:00:49Z,2,5.234,2
2024-01-05T12:00:49Z,2,5.337,2
2024-01-05T13:00:49Z,2,5.348,2
2024-01-05T14:00:49Z,2,5.388,2
2024-01-05T15:00:49Z,2,5.395,2
2024-01-05T16:00:49Z,2,5.382,2
2024-01-05T17:00:49Z,2,5.374,2
2024-01-05T18:00:49Z,2,5.401,2
2024-01-05T19:00:49Z,2,5.405,2
2024-01-05T20:00:49Z,2,5.409,2
2024-01-05T21:00:49Z,2,5.432,2
2024-01-05T22:00:49Z,2,5.411,2
2024-01-05T23:00:49Z,2,5.408,2
2024-01-06T00:00:49Z,2,5.42,2
2024-01-06T01:00:49Z,2,5.415,2
2024-01-06T02:00:49Z,2,5.426,2
2024-01-06T03:00:49Z,2,5.432,2
2024-01-06T04:00:49Z,2,5.446,2
2024-01-06T05:00:49Z,2,5.441,2
2024-01-06T06:00:49Z,2,5.437,2
2024-01-06T07:00:49Z,2,5.43,2
2024-01-06T08:00:49Z,2,5.43,2
2024-01-06T09:00:49Z,2,5.434,2
2024-01-06T10:00:49Z,2,5.417,2
2024-01-06T11:00:49Z,2,5.418,2
2024-01-06T12:00:49Z,2,5.434,2
2024-01-06T13:00:49Z,2,5.456,2
2024-01-06T14:00:49Z,2,5.476,2
2024-01-06T15:00:49Z,2,5.489,2
2024-01-06T16:00:49Z,2,5.495,2
2024-01-06T17:00:49Z,2,5.498,2
2024-01-06T18:00:49Z,2,5.461,2
2024-01-06T19:00:49Z,2,5.449,2
2024-01-06T20:00:49Z,2,5.422,2
2024-01-06T21:00:49Z,2,5.349,2
2024-01-06T22:00:49Z,2,5.306,2
2024-01-06T23:00:49Z,2,5.283,2
2024-01-07T00:00:49Z,2,5.199,2
2024-01-07T01:00:49Z,2,5.229,2
2024-01-07T02:00:49Z,2,5.241,2
2024-01-07T03:00:49Z,2,5.207,2
2024-01-07T04:00:49Z,2,5.159,2
2024-01-07T05:00:49Z,2,5.17,2
2024-01-07T06:00:49Z,2,5.236,2
2024-01-07T07:00:49Z,2,5.253,2
2024-01-07T08:00:49Z,2,5.275,2
2024-01-07T09:00:49Z,2,5.305,2
2024-01-07T10:00:49Z,2,5.34,2
2024-01-07T11:00:49Z,2,5.319,2
2024-01-07T12:00:49Z,2,5.355,2
2024-01-07T13:00:49Z,2,5.351,2
2024-01-07T14:00:49Z,2,5.372,2
2024-01-07T15:00:49Z,2,5.37,2
2024-01-07T16:00:49Z,2,5.344,2
2024-01-07T17:00:49Z,2,5.337,2
2024-01-07T18:00:49Z,2,5.339,2
2024-01-07T19:00:49Z,2,5.315,2
2024-01-07T20:00:49Z,2,5.287,2
2024-01-07T21:00:49Z,2,5.272,2
2024-01-07T22:00:49Z,2,5.238,2
2024-01-07T23:00:49Z,2,5.218,2
2024-01-08T00:00:49Z,2,5.208,2
2024-01-08T01:00:49Z,2,5.218,2
2024-01-08T02:00:49Z,2,5.218,2
2024-01-08T03:00:49Z,2,5.224,2
2024-01-08T04:00:49Z,2,5.2,2
2024-01-08T05:00:49Z,2,5.189,2
2024-01-08T06:00:49Z,2,5.205,2
2024-01-08T07:00:49Z,2,5.207,2
2024-01-08T08:00:49Z,2,5.23,2
2024-01-08T09:00:49Z,2,5.275,2
2024-01-08T10:00:49Z,2,5.268,2
2024-01-08T11:00:49Z,2,5.235,2
2024-01-08T12:00:49Z,2,5.166,2
2024-01-08T13:00:49Z,2,5.149,2
2024-01-08T14:00:49Z,2,5.18,2
2024-01-08T15:00:49Z,2,5.182,2
2024-01-08T16:00:49Z,2,5.256,2
2024-01-08T17:00:49Z,2,5.297,2
